"id","sp","rep","site","ind","twig","treatcode","warm","photo","chill","position","gen","row","col"
"BETPAP06_HF_10","BETPAP","06","HF","BETPAP06_HF","10","CS1","cool","short","chill1",1,"BET",1,1
"ACEPEN01_HF_01","ACEPEN","01","HF","ACEPEN01_HF","01","CS1","cool","short","chill1",1,"ACE",1,1
"QUERUB06_SH_01","QUERUB","06","SH","QUERUB06_SH","01","CS1","cool","short","chill1",2,"QUE",2,1
"BETALL01_SH_09","BETALL","01","SH","BETALL01_SH","09","CS1","cool","short","chill1",2,"BET",2,1
"VIBCAS06_SH_06","VIBCAS","06","SH","VIBCAS06_SH","06","CS1","cool","short","chill1",3,"VIB",3,1
"BETALL08_SH_09","BETALL","08","SH","BETALL08_SH","09","CS1","cool","short","chill1",3,"BET",3,1
"FAGGRA13_HF_06","FAGGRA","13","HF","FAGGRA13_HF","06","CS1","cool","short","chill1",4,"FAG",4,1
"VIBLAN05_SH_02","VIBLAN","05","SH","VIBLAN05_SH","02","CS1","cool","short","chill1",4,"VIB",4,1
"QUERUB05_SH_12","QUERUB","05","SH","QUERUB05_SH","12","CS1","cool","short","chill1",5,"QUE",5,1
"FAGGRA06_SH_08","FAGGRA","06","SH","FAGGRA06_SH","08","CS1","cool","short","chill1",5,"FAG",5,1
"QUERUB23_HF_10","QUERUB","23","HF","QUERUB23_HF","10","CS1","cool","short","chill1",6,"QUE",6,1
"FAGGRA10_HF_12","FAGGRA","10","HF","FAGGRA10_HF","12","CS1","cool","short","chill1",6,"FAG",6,1
"ACESAC10_HF_01","ACESAC","10","HF","ACESAC10_HF","01","CS1","cool","short","chill1",7,"ACE",7,1
"POPGRA03_HF_07","POPGRA","03","HF","POPGRA03_HF","07","CS1","cool","short","chill1",7,"POP",7,1
"VIBLAN07_SH_05","VIBLAN","07","SH","VIBLAN07_SH","05","CS1","cool","short","chill1",8,"VIB",8,1
"POPGRA06_SH_07","POPGRA","06","SH","POPGRA06_SH","07","CS1","cool","short","chill1",8,"POP",8,1
"VIBLAN04_HF_10","VIBLAN","04","HF","VIBLAN04_HF","10","CS1","cool","short","chill1",9,"VIB",1,2
"ILEMUC06_SH_04","ILEMUC","06","SH","ILEMUC06_SH","04","CS1","cool","short","chill1",9,"ILE",1,2
"POPGRA06_HF_08","POPGRA","06","HF","POPGRA06_HF","08","CS1","cool","short","chill1",10,"POP",2,2
"ACERUB14_HF_10","ACERUB","14","HF","ACERUB14_HF","10","CS1","cool","short","chill1",10,"ACE",2,2
"ACEPEN07_SH_04","ACEPEN","07","SH","ACEPEN07_SH","04","CS1","cool","short","chill1",11,"ACE",3,2
"VIBLAN12_HF_01","VIBLAN","12","HF","VIBLAN12_HF","01","CS1","cool","short","chill1",11,"VIB",3,2
"ACERUB06_SH_01","ACERUB","06","SH","ACERUB06_SH","01","CS1","cool","short","chill1",12,"ACE",4,2
"POPGRA07_HF_10","POPGRA","07","HF","POPGRA07_HF","10","CS1","cool","short","chill1",12,"POP",4,2
"ILEMUC03_HF_12","ILEMUC","03","HF","ILEMUC03_HF","12","CS1","cool","short","chill1",13,"ILE",5,2
"ACESAC07_HF_03","ACESAC","07","HF","ACESAC07_HF","03","CS1","cool","short","chill1",13,"ACE",5,2
"QUERUB17_HF_12","QUERUB","17","HF","QUERUB17_HF","12","CS1","cool","short","chill1",14,"QUE",6,2
"ACEPEN11_HF_10","ACEPEN","11","HF","ACEPEN11_HF","10","CS1","cool","short","chill1",14,"ACE",6,2
"POPGRA04_SH_04","POPGRA","04","SH","POPGRA04_SH","04","CS1","cool","short","chill1",15,"POP",7,2
"ACERUB10_SH_10","ACERUB","10","SH","ACERUB10_SH","10","CS1","cool","short","chill1",15,"ACE",7,2
"QUERUB07_SH_02","QUERUB","07","SH","QUERUB07_SH","02","CS1","cool","short","chill1",16,"QUE",8,2
"BETPAP04_SH_01","BETPAP","04","SH","BETPAP04_SH","01","CS1","cool","short","chill1",16,"BET",8,2
"ACESAC10_SH_07","ACESAC","10","SH","ACESAC10_SH","07","CS1","cool","short","chill1",17,"ACE",1,3
"BETPAP13_HF_10","BETPAP","13","HF","BETPAP13_HF","10","CS1","cool","short","chill1",17,"BET",1,3
"ILEMUC03_SH_12","ILEMUC","03","SH","ILEMUC03_SH","12","CS1","cool","short","chill1",18,"ILE",2,3
"VIBCAS07_SH_04","VIBCAS","07","SH","VIBCAS07_SH","04","CS1","cool","short","chill1",18,"VIB",2,3
"VIBCAS05_SH_08","VIBCAS","05","SH","VIBCAS05_SH","08","CS1","cool","short","chill1",19,"VIB",3,3
"ACEPEN08_SH_03","ACEPEN","08","SH","ACEPEN08_SH","03","CS1","cool","short","chill1",19,"ACE",3,3
"BETPAP09_HF_07","BETPAP","09","HF","BETPAP09_HF","07","CS1","cool","short","chill1",20,"BET",4,3
"VIBLAN04_SH_03","VIBLAN","04","SH","VIBLAN04_SH","03","CS1","cool","short","chill1",20,"VIB",4,3
"VIBLAN11_HF_03","VIBLAN","11","HF","VIBLAN11_HF","03","CS1","cool","short","chill1",21,"VIB",5,3
"BETPAP15_HF_01","BETPAP","15","HF","BETPAP15_HF","01","CS1","cool","short","chill1",21,"BET",5,3
"ACESAC05_HF_11","ACESAC","05","HF","ACESAC05_HF","11","CS1","cool","short","chill1",22,"ACE",6,3
"FAGGRA08_SH_04","FAGGRA","08","SH","FAGGRA08_SH","04","CS1","cool","short","chill1",22,"FAG",6,3
"VIBLAN03_HF_02","VIBLAN","03","HF","VIBLAN03_HF","02","CS1","cool","short","chill1",23,"VIB",7,3
