"id","sp","rep","site","ind","twig","treatcode","warm","photo","chill"
"ACEPEN01_HF_01","ACEPEN","01","HF","ACEPEN01_HF","01","CS1","cool","short","chill1"
"ACEPEN01_HF_02","ACEPEN","01","HF","ACEPEN01_HF","02","CS0","cool","short","chill0"
"ACEPEN01_HF_03","ACEPEN","01","HF","ACEPEN01_HF","03","CL0","cool","long","chill0"
"ACEPEN01_HF_04","ACEPEN","01","HF","ACEPEN01_HF","04","WL2","warm","long","chill2"
"ACEPEN01_HF_05","ACEPEN","01","HF","ACEPEN01_HF","05","WL1","warm","long","chill1"
"ACEPEN01_HF_06","ACEPEN","01","HF","ACEPEN01_HF","06","WL0","warm","long","chill0"
"ACEPEN01_HF_07","ACEPEN","01","HF","ACEPEN01_HF","07","WS0","warm","short","chill0"
"ACEPEN01_HF_08","ACEPEN","01","HF","ACEPEN01_HF","08","WS1","warm","short","chill1"
"ACEPEN01_HF_09","ACEPEN","01","HF","ACEPEN01_HF","09","CL2","cool","long","chill2"
"ACEPEN01_HF_10","ACEPEN","01","HF","ACEPEN01_HF","10","CS2","cool","short","chill2"
"ACEPEN01_HF_11","ACEPEN","01","HF","ACEPEN01_HF","11","WS2","warm","short","chill2"
"ACEPEN01_HF_12","ACEPEN","01","HF","ACEPEN01_HF","12","CL1","cool","long","chill1"
"ACEPEN02_HF_01","ACEPEN","02","HF","ACEPEN02_HF","01","CL0","cool","long","chill0"
"ACEPEN02_HF_02","ACEPEN","02","HF","ACEPEN02_HF","02","CS1","cool","short","chill1"
"ACEPEN02_HF_03","ACEPEN","02","HF","ACEPEN02_HF","03","WS2","warm","short","chill2"
"ACEPEN02_HF_04","ACEPEN","02","HF","ACEPEN02_HF","04","WS1","warm","short","chill1"
"ACEPEN02_HF_05","ACEPEN","02","HF","ACEPEN02_HF","05","CS2","cool","short","chill2"
"ACEPEN02_HF_06","ACEPEN","02","HF","ACEPEN02_HF","06","WL1","warm","long","chill1"
"ACEPEN02_HF_07","ACEPEN","02","HF","ACEPEN02_HF","07","CL2","cool","long","chill2"
"ACEPEN02_HF_08","ACEPEN","02","HF","ACEPEN02_HF","08","WL0","warm","long","chill0"
"ACEPEN02_HF_09","ACEPEN","02","HF","ACEPEN02_HF","09","CS0","cool","short","chill0"
"ACEPEN02_HF_10","ACEPEN","02","HF","ACEPEN02_HF","10","WL2","warm","long","chill2"
"ACEPEN02_HF_11","ACEPEN","02","HF","ACEPEN02_HF","11","CL1","cool","long","chill1"
"ACEPEN02_HF_12","ACEPEN","02","HF","ACEPEN02_HF","12","WS0","warm","short","chill0"
"ACEPEN03_HF_01","ACEPEN","03","HF","ACEPEN03_HF","01","WL2","warm","long","chill2"
"ACEPEN03_HF_02","ACEPEN","03","HF","ACEPEN03_HF","02","WL0","warm","long","chill0"
"ACEPEN03_HF_03","ACEPEN","03","HF","ACEPEN03_HF","03","WS1","warm","short","chill1"
"ACEPEN03_HF_04","ACEPEN","03","HF","ACEPEN03_HF","04","CS2","cool","short","chill2"
"ACEPEN03_HF_05","ACEPEN","03","HF","ACEPEN03_HF","05","CS0","cool","short","chill0"
"ACEPEN03_HF_06","ACEPEN","03","HF","ACEPEN03_HF","06","CL2","cool","long","chill2"
"ACEPEN03_HF_07","ACEPEN","03","HF","ACEPEN03_HF","07","WS2","warm","short","chill2"
"ACEPEN03_HF_08","ACEPEN","03","HF","ACEPEN03_HF","08","CL0","cool","long","chill0"
"ACEPEN03_HF_09","ACEPEN","03","HF","ACEPEN03_HF","09","CS1","cool","short","chill1"
"ACEPEN03_HF_10","ACEPEN","03","HF","ACEPEN03_HF","10","CL1","cool","long","chill1"
"ACEPEN03_HF_11","ACEPEN","03","HF","ACEPEN03_HF","11","WS0","warm","short","chill0"
"ACEPEN03_HF_12","ACEPEN","03","HF","ACEPEN03_HF","12","WL1","warm","long","chill1"
"ACEPEN04_HF_01","ACEPEN","04","HF","ACEPEN04_HF","01","CS0","cool","short","chill0"
"ACEPEN04_HF_02","ACEPEN","04","HF","ACEPEN04_HF","02","WL1","warm","long","chill1"
"ACEPEN04_HF_03","ACEPEN","04","HF","ACEPEN04_HF","03","CS1","cool","short","chill1"
"ACEPEN04_HF_04","ACEPEN","04","HF","ACEPEN04_HF","04","CL0","cool","long","chill0"
"ACEPEN04_HF_05","ACEPEN","04","HF","ACEPEN04_HF","05","CL1","cool","long","chill1"
"ACEPEN04_HF_06","ACEPEN","04","HF","ACEPEN04_HF","06","WS0","warm","short","chill0"
"ACEPEN04_HF_07","ACEPEN","04","HF","ACEPEN04_HF","07","WL0","warm","long","chill0"
"ACEPEN04_HF_08","ACEPEN","04","HF","ACEPEN04_HF","08","WS2","warm","short","chill2"
"ACEPEN04_HF_09","ACEPEN","04","HF","ACEPEN04_HF","09","CS2","cool","short","chill2"
"ACEPEN04_HF_10","ACEPEN","04","HF","ACEPEN04_HF","10","WS1","warm","short","chill1"
"ACEPEN04_HF_11","ACEPEN","04","HF","ACEPEN04_HF","11","CL2","cool","long","chill2"
"ACEPEN04_HF_12","ACEPEN","04","HF","ACEPEN04_HF","12","WL2","warm","long","chill2"
"ACEPEN04_SH_01","ACEPEN","04","SH","ACEPEN04_SH","01","CS1","cool","short","chill1"
"ACEPEN04_SH_02","ACEPEN","04","SH","ACEPEN04_SH","02","CL0","cool","long","chill0"
"ACEPEN04_SH_03","ACEPEN","04","SH","ACEPEN04_SH","03","WL0","warm","long","chill0"
"ACEPEN04_SH_04","ACEPEN","04","SH","ACEPEN04_SH","04","WS0","warm","short","chill0"
"ACEPEN04_SH_05","ACEPEN","04","SH","ACEPEN04_SH","05","CS0","cool","short","chill0"
"ACEPEN04_SH_06","ACEPEN","04","SH","ACEPEN04_SH","06","CS2","cool","short","chill2"
"ACEPEN04_SH_07","ACEPEN","04","SH","ACEPEN04_SH","07","WL2","warm","long","chill2"
"ACEPEN04_SH_08","ACEPEN","04","SH","ACEPEN04_SH","08","WL1","warm","long","chill1"
"ACEPEN04_SH_09","ACEPEN","04","SH","ACEPEN04_SH","09","WS1","warm","short","chill1"
"ACEPEN04_SH_10","ACEPEN","04","SH","ACEPEN04_SH","10","CL1","cool","long","chill1"
"ACEPEN04_SH_11","ACEPEN","04","SH","ACEPEN04_SH","11","CL2","cool","long","chill2"
"ACEPEN04_SH_12","ACEPEN","04","SH","ACEPEN04_SH","12","WS2","warm","short","chill2"
"ACEPEN06_SH_01","ACEPEN","06","SH","ACEPEN06_SH","01","CS0","cool","short","chill0"
"ACEPEN06_SH_02","ACEPEN","06","SH","ACEPEN06_SH","02","WS1","warm","short","chill1"
"ACEPEN06_SH_03","ACEPEN","06","SH","ACEPEN06_SH","03","CS1","cool","short","chill1"
"ACEPEN06_SH_04","ACEPEN","06","SH","ACEPEN06_SH","04","CL1","cool","long","chill1"
"ACEPEN06_SH_05","ACEPEN","06","SH","ACEPEN06_SH","05","CS2","cool","short","chill2"
"ACEPEN06_SH_06","ACEPEN","06","SH","ACEPEN06_SH","06","WS0","warm","short","chill0"
"ACEPEN06_SH_07","ACEPEN","06","SH","ACEPEN06_SH","07","CL0","cool","long","chill0"
"ACEPEN06_SH_08","ACEPEN","06","SH","ACEPEN06_SH","08","WL1","warm","long","chill1"
"ACEPEN06_SH_09","ACEPEN","06","SH","ACEPEN06_SH","09","WL0","warm","long","chill0"
"ACEPEN06_SH_10","ACEPEN","06","SH","ACEPEN06_SH","10","CL2","cool","long","chill2"
"ACEPEN06_SH_11","ACEPEN","06","SH","ACEPEN06_SH","11","WS2","warm","short","chill2"
"ACEPEN06_SH_12","ACEPEN","06","SH","ACEPEN06_SH","12","WL2","warm","long","chill2"
"ACEPEN07_SH_01","ACEPEN","07","SH","ACEPEN07_SH","01","CL1","cool","long","chill1"
"ACEPEN07_SH_02","ACEPEN","07","SH","ACEPEN07_SH","02","WL2","warm","long","chill2"
"ACEPEN07_SH_03","ACEPEN","07","SH","ACEPEN07_SH","03","WS1","warm","short","chill1"
"ACEPEN07_SH_04","ACEPEN","07","SH","ACEPEN07_SH","04","CS1","cool","short","chill1"
"ACEPEN07_SH_05","ACEPEN","07","SH","ACEPEN07_SH","05","CL0","cool","long","chill0"
"ACEPEN07_SH_06","ACEPEN","07","SH","ACEPEN07_SH","06","WL1","warm","long","chill1"
"ACEPEN07_SH_07","ACEPEN","07","SH","ACEPEN07_SH","07","WS2","warm","short","chill2"
"ACEPEN07_SH_08","ACEPEN","07","SH","ACEPEN07_SH","08","CL2","cool","long","chill2"
"ACEPEN07_SH_09","ACEPEN","07","SH","ACEPEN07_SH","09","WS0","warm","short","chill0"
"ACEPEN07_SH_10","ACEPEN","07","SH","ACEPEN07_SH","10","WL0","warm","long","chill0"
"ACEPEN07_SH_11","ACEPEN","07","SH","ACEPEN07_SH","11","CS2","cool","short","chill2"
"ACEPEN07_SH_12","ACEPEN","07","SH","ACEPEN07_SH","12","CS0","cool","short","chill0"
"ACEPEN08_SH_01","ACEPEN","08","SH","ACEPEN08_SH","01","CS2","cool","short","chill2"
"ACEPEN08_SH_02","ACEPEN","08","SH","ACEPEN08_SH","02","WL2","warm","long","chill2"
"ACEPEN08_SH_03","ACEPEN","08","SH","ACEPEN08_SH","03","CS1","cool","short","chill1"
"ACEPEN08_SH_04","ACEPEN","08","SH","ACEPEN08_SH","04","WL1","warm","long","chill1"
"ACEPEN08_SH_05","ACEPEN","08","SH","ACEPEN08_SH","05","CL0","cool","long","chill0"
"ACEPEN08_SH_06","ACEPEN","08","SH","ACEPEN08_SH","06","WS1","warm","short","chill1"
"ACEPEN08_SH_07","ACEPEN","08","SH","ACEPEN08_SH","07","CS0","cool","short","chill0"
"ACEPEN08_SH_08","ACEPEN","08","SH","ACEPEN08_SH","08","WS2","warm","short","chill2"
"ACEPEN08_SH_09","ACEPEN","08","SH","ACEPEN08_SH","09","CL1","cool","long","chill1"
"ACEPEN08_SH_10","ACEPEN","08","SH","ACEPEN08_SH","10","WS0","warm","short","chill0"
"ACEPEN08_SH_11","ACEPEN","08","SH","ACEPEN08_SH","11","CL2","cool","long","chill2"
"ACEPEN08_SH_12","ACEPEN","08","SH","ACEPEN08_SH","12","WL0","warm","long","chill0"
"ACEPEN09_SH_01","ACEPEN","09","SH","ACEPEN09_SH","01","WL1","warm","long","chill1"
"ACEPEN09_SH_02","ACEPEN","09","SH","ACEPEN09_SH","02","CL1","cool","long","chill1"
"ACEPEN09_SH_03","ACEPEN","09","SH","ACEPEN09_SH","03","WL2","warm","long","chill2"
"ACEPEN09_SH_04","ACEPEN","09","SH","ACEPEN09_SH","04","CL0","cool","long","chill0"
"ACEPEN09_SH_05","ACEPEN","09","SH","ACEPEN09_SH","05","WS2","warm","short","chill2"
"ACEPEN09_SH_06","ACEPEN","09","SH","ACEPEN09_SH","06","WS0","warm","short","chill0"
"ACEPEN09_SH_07","ACEPEN","09","SH","ACEPEN09_SH","07","CS2","cool","short","chill2"
"ACEPEN09_SH_08","ACEPEN","09","SH","ACEPEN09_SH","08","CS1","cool","short","chill1"
"ACEPEN09_SH_09","ACEPEN","09","SH","ACEPEN09_SH","09","WS1","warm","short","chill1"
"ACEPEN09_SH_10","ACEPEN","09","SH","ACEPEN09_SH","10","CL2","cool","long","chill2"
"ACEPEN09_SH_11","ACEPEN","09","SH","ACEPEN09_SH","11","WL0","warm","long","chill0"
"ACEPEN09_SH_12","ACEPEN","09","SH","ACEPEN09_SH","12","CS0","cool","short","chill0"
"ACEPEN11_HF_01","ACEPEN","11","HF","ACEPEN11_HF","01","WS1","warm","short","chill1"
"ACEPEN11_HF_02","ACEPEN","11","HF","ACEPEN11_HF","02","WS0","warm","short","chill0"
"ACEPEN11_HF_03","ACEPEN","11","HF","ACEPEN11_HF","03","CS2","cool","short","chill2"
"ACEPEN11_HF_04","ACEPEN","11","HF","ACEPEN11_HF","04","CS0","cool","short","chill0"
"ACEPEN11_HF_05","ACEPEN","11","HF","ACEPEN11_HF","05","CL2","cool","long","chill2"
"ACEPEN11_HF_06","ACEPEN","11","HF","ACEPEN11_HF","06","CL0","cool","long","chill0"
"ACEPEN11_HF_07","ACEPEN","11","HF","ACEPEN11_HF","07","WL2","warm","long","chill2"
"ACEPEN11_HF_08","ACEPEN","11","HF","ACEPEN11_HF","08","CL1","cool","long","chill1"
"ACEPEN11_HF_09","ACEPEN","11","HF","ACEPEN11_HF","09","WL0","warm","long","chill0"
"ACEPEN11_HF_10","ACEPEN","11","HF","ACEPEN11_HF","10","CS1","cool","short","chill1"
"ACEPEN11_HF_11","ACEPEN","11","HF","ACEPEN11_HF","11","WS2","warm","short","chill2"
"ACEPEN11_HF_12","ACEPEN","11","HF","ACEPEN11_HF","12","WL1","warm","long","chill1"
"ACEPEN11_SH_01","ACEPEN","11","SH","ACEPEN11_SH","01","WL0","warm","long","chill0"
"ACEPEN11_SH_02","ACEPEN","11","SH","ACEPEN11_SH","02","CL2","cool","long","chill2"
"ACEPEN11_SH_03","ACEPEN","11","SH","ACEPEN11_SH","03","WS0","warm","short","chill0"
