CS0,,,,,,,,,,,,,,,,,,
Cool/short,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,"FRANIG08_HF_03
ILEMUC04_HF_05","QUERUB08_SH_12
RHAFRA18_HF_03","VIBCAS07_SH_03
ALNINC04_SH_02","RHOPRI06_HF_01
PRUPEN06_SH_03","SPIALB05_HF_04
FRANIG08_SH_03","ACESAC02_SH_01
POPGRA03_HF_06","HAMVIR10_HF_04
QUERUB21_HF_09","BETALL17_HF_09
VIBLAN09_SH_03","LYOLIG09_HF_03
QUEVEL09_HF_01","NYSSYL14_HF_02
LONCAN05_SH_03","VIBLAN05_SH_08
BETPAP10_SH_03","POPGRA07_HF_01
CORCOR09_SH_02","ACESAC06_HF_11
ALNINC05_HF_02","ACESAC02_HF_05
POPGRA08_SH_10","QUEALB16_HF_02
CORCOR07_HF_03","ACEPEN11_SH_10
FAGGRA08_SH_02","FAGGRA06_SH_01
QUERUB05_SH_08","FAGGRA10_HF_06
BETLEN04_HF_04"
2,"SPIALB03_HF_02
VIBLAN07_SH_12","ILEMUC01_SH_12
ACESAC07_HF_02","CORCOR05_SH_04
BETPAP06_SH_08","FAGGRA14_HF_07
KALANG07_HF_03","FRANIG09_SH_01
ACESAC99_HF_05","KALANG14_HF_01
ALNINC02_SH_03","ACERUB08_SH_09
RHAFRA01_HF_04","FAGGRA11_HF_12
PRUPEN02_SH_01","BETLEN10_HF_02
ALNINC06_SH_04","POPGRA02_SH_08
PRUPEN06_HF_02","POPGRA05_SH_11
ALNINC07_SH_04","VIBLAN12_HF_09
KALANG09_HF_03","VIBLAN06_SH_10
KALANG13_HF_03","RHOPRI03_HF_01
VIBLAN03_HF_04","ACEPEN08_SH_07
LYOLIG08_HF_01","BETPAP07_HF_10
SPIALB07_SH_03","VIBLAN11_HF_08
VACMYR07_SH_04",KALANG12_HF_02
3,"VIBCAS04_HF_09
BETPAP04_SH_12","NYSSYL10_HF_03
POPGRA01_SH_03","QUEVEL05_HF_03
ACERUB10_HF_11","ACERUB99_HF_08
PRUPEN04_HF_03","FRANIG06_SH_01
VACMYR01_HF_01","BETPAP06_HF_08
FAGGRA04_SH_08","HAMVIR08_HF_04
QUERUB10_SH_08","VACMYR04_SH_03
HAMVIR07_HF_01","ACESAC03_SH_01
FAGGRA07_SH_07","BETLEN05_HF_03
CORCOR10_HF_02","QUERUB20_HF_10
VACMYR03_HF_04","ACEPEN12_HF_03
BETALL20_HF_02","RHAFRA16_HF_03
BETPAP08_SH_05","PRUPEN12_HF_02
KALANG05_SH_03","ACEPEN11_HF_04
CORCOR01_HF_04","BETALL19_HF_07
ALNINC08_HF_03","SPIALB08_HF_01
VACMYR05_SH_01",
4,"ACERUB11_HF_03
PRUPEN13_HF_01","QUERUB23_HF_09
ILEMUC03_HF_02","HAMVIR12_HF_02
SPIALB03_SH_04","CORCOR06_HF_01
SPIALB04_HF_03","VIBLAN10_HF_09
RHOPRI05_HF_01","BETPAP09_SH_10
NYSSYL03_HF_01","BETALL01_SH_11
VIBLAN04_SH_07","ILEMUC05_HF_05
PRUPEN07_HF_02","BETPAP07_SH_05
LONCAN02_HF_02","POPGRA02_HF_03
LYOLIG05_HF_03","PRUPEN09_SH_03
NYSSYL13_HF_01","KALANG08_SH_04
PRUPEN05_HF_03","VIBCAS04_SH_10
ILEMUC04_SH_01","VIBCAS05_SH_10
BETLEN08_HF_01","VIBCAS01_SH_08
RHAFRA02_HF_04","VACMYR07_HF_01
QUEVEL02_HF_04","ALNINC02_HF_01
FRANIG04_HF_04",
5,"POPGRA04_SH_07
VACMYR08_SH_03","KALANG99_SH_01
FRANIG06_HF_01","KALANG07_SH_02
FAGGRA09_HF_02","AROMEL06_HF_03
ILEMUC06_HF_10","ALNINC04_HF_02
CORCOR07_SH_03","ACEPEN04_HF_01
HAMVIR09_HF_04","SPIALB99_SH_03
FRANIG05_SH_03","LYOLIG33_HF_02
FAGGRA05_SH_02","VIBCAS08_HF_08
CORCOR08_SH_04","ACESAC07_SH_01
ALNINC07_HF_02","FAGGRA13_HF_10
QUERUB04_SH_12","AROMEL08_HF_02
VIBCAS06_SH_04","ACERUB14_HF_08
ILEMUC03_SH_05","CORCOR10_SH_04
LONCAN05_HF_01","QUERUB17_HF_09
LONCAN01_SH_04","ACESAC99_SH_04
FRANIG02_SH_01","CORCOR09_HF_02
ACEPEN09_SH_12",
6,"ACESAC10_HF_03
POPGRA05_HF_03","RHOPRI08_HF_02
SPIALB99_SH_03","QUEALB09_HF_01
ACERUB07_SH_02","NYSSYL06_HF_01
ILEMUC06_SH_03","SPIALB06_HF_04
VIBCAS07_HF_05","CORCOR08_HF_02
ACEPEN04_SH_05","FAGGRA02_SH_06
LONCAN04_HF_04","VACMYR02_SH_03
FRANIG01_HF_01","LYOLIG07_HF_02
BETALL08_SH_06","PRUPEN04_SH_03
ILEMUC08_HF_12","SPIALB01_HF_01
VACMYR10_HF_03","FRANIG05_HF_01
QUEVEL06_HF_01","PRUPEN09_HF_04
ACEPEN01_HF_02","QUEALB08_HF_03
ILEMUC07_HF_06","KALANG04_SH_01
VIBCAS10_HF_01","BETALL03_SH_02
QUERUB16_HF_10","KALANG11_HF_04
BETPAP09_HF_10",
7,"ILEMUC07_SH_06
ACEPEN07_SH_12","VIBCAS02_HF_05
BETALL10_HF_06","PRUPEN08_SH_03
AROMEL04_HF_02","BETALL09_SH_05
FRANIG01_SH_04","VIBCAS03_HF_11
BETPAP14_HF_02","ACERUB05_SH_08
CORCOR11_SH_03","BETLEN06_HF_02
QUEALB11_HF_01","POPGRA06_HF_09
RHAFRA12_HF_03","VACMYR05_HF_04
BETPAP13_HF_01","FRANIG03_HF_02
ACERUB09_SH_09","BETPAP15_HF_03
ILEMUC05_SH_04","PRUPEN03_SH_02
ALNINC05_SH_03","AROMEL11_HF_02
BETALL02_SH_03","QUEVEL03_HF_04
POPGRA06_SH_05","ALNINC01_SH_02
ACEPEN02_HF_09","QUEALB12_HF_02
ACERUB10_SH_01","RHAFRA17_HF_03
VIBLAN09_HF_11",
8,"NYSSYL08_HF_02
FAGGRA03_HF_12","BETALL18_HF_11
VIBCAS08_SH_10","ACESAC05_HF_12
VACMYR03_SH_01","BETALL10_SH_09
HAMVIR11_HF_02","LONCAN07_HF_03
PRUPEN08_HF_02","QUERUB15_HF_06
BETLEN11_HF_03","RHOPRI04_HF_02
ACESAC10_SH_04","ACEPEN06_SH_01
VIBLAN02_SH_07","SPIALB06_SH_01
ACERUB13_HF_11","LONCAN01_HF_04
ACERUB06_SH_06","ALNINC01_HF_01
QUERUB06_SH_10","ACESAC09_SH_08
LONCAN06_HF_02","VIBLAN04_HF_12
VACMYR04_HF_03","QUEVEL01_HF_03
BETALL16_HF_11","LONCAN99_SH_01
LYOLIG06_HF_04","ACEPEN03_HF_05
KALANG03_SH_04","QUERUB07_SH_05
RHOPRI07_HF_01",
,,,,,,,,,,,,,,,,,,
Cool/long,,,,,,,,,,,,,,,,,,
